state,abbrev,total,trump,clinton
Alabama,AL,9,9,0
Alaska,AK,3,3,0
Arizona,AZ,11,11,0
Arkansas,AR,6,6,0
California,CA,55,0,55
Colorado,CO,9,0,9
Connecticut,CT,7,0,7
Delaware,DE,3,0,3
District of Columbia,DC,3,0,3
Florida,FL,29,29,0
Georgia,GA,16,16,0
Hawaii,HI,4,0,3
Idaho,ID,4,4,0
Illinois,IL,20,0,20
Indiana,IN,11,11,0
Iowa,IA,6,6,0
Kansas,KS,6,6,0
Kentucky,KY,8,8,0
Louisiana,LA,8,8,0
Maine,ME,4,1,3
Maryland,MD,10,0,10
Massachusetts,MA,11,0,11
Michigan,MI,16,16,0
Minnesota,MN,10,0,10
Mississippi,MS,6,6,0
Missouri,MO,10,10,0
Montana,MT,3,3,0
Nebraska,NE,5,5,0
Nevada,NV,6,0,6
New Hampshire,NH,4,0,4
New Jersey,NJ,14,0,14
New Mexico,NM,5,0,5
New York,NY,29,0,29
North Carolina,NC,15,15,0
North Dakota,ND,3,3,0
Ohio,OH,18,18,0
Oklahoma,OK,7,7,0
Oregon,OR,7,0,7
Pennsylvania,PA,20,20,0
Rhode Island,RI,4,0,4
South Carolina,SC,9,9,0
South Dakota,SD,3,3,0
Tennessee,TN,11,11,0
Texas,TX,38,36,0
Utah,UT,6,6,0
Vermont,VT,3,0,3
Virginia,VA,13,0,13
Washington,WA,12,0,8
West Virginia,WV,5,5,0
Wisconsin,WI,10,10,0
Wyoming,WY,3,3,0
